Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
168,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
169,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
170,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
171,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
172,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
173,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
174,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
175,312.27222,0.63305527,0.6244823,buy,hold,102.0734532546012
176,312.27652,0.63734174,0.63305527,buy,hold,102.76460111468025
177,312.27652,0.63305527,0.63734174,buy,hold,102.0734532546012
178,312.27222,0.63305527,0.63305527,buy,hold,102.0734532546012
179,312.27652,0.6287688,0.63305527,buy,hold,101.38230539452219
180,312.27222,0.63734174,0.6287688,buy,hold,102.76460111468025
181,312.27652,0.63305527,0.63734174,buy,hold,102.0734532546012
182,312.2808,0.6201958,0.63305527,buy,hold,100.0
183,312.27222,0.56018525,0.6201958,buy,hold,90.32393479607569
184,312.23364,0.5687582,0.56018525,buy,hold,91.70623212862778
185,312.22937,0.56018525,0.5687582,buy,hold,90.32393479607569
186,312.2165,0.5773311,0.56018525,buy,hold,93.08852139920974
187,312.2208,0.5773311,0.5773311,buy,hold,93.08852139920974
188,312.22507,0.57304466,0.5773311,buy,hold,92.39737837631277
189,312.2208,0.5687582,0.57304466,buy,hold,91.70623212862778
190,312.2165,0.57304466,0.5687582,buy,hold,92.39737837631277
191,312.2208,0.59019053,0.57304466,buy,hold,95.16196820423487
192,312.22937,0.59019053,0.59019053,buy,hold,95.16196820423487
193,312.22937,0.5816176,0.59019053,buy,hold,93.77967409647083
194,312.22937,0.5816176,0.5816176,buy,hold,93.77967409647083
195,312.22937,0.5816176,0.5816176,buy,hold,93.77967409647083
196,312.22507,0.57304466,0.5816176,buy,hold,92.39737837631277
197,312.2208,0.5816176,0.57304466,buy,hold,93.77967409647083
198,312.22507,0.5816176,0.5816176,buy,hold,93.77967409647083
199,312.22937,0.5816176,0.5816176,buy,hold,93.77967409647083
200,312.22937,0.5816176,0.5816176,buy,hold,93.77967409647083
201,312.22937,0.5816176,0.5816176,buy,hold,93.77967409647083
202,312.22507,0.57304466,0.5816176,buy,hold,92.39737837631277
203,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
204,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
205,312.2208,0.5773311,0.5773311,buy,hold,93.08852139920974
206,312.22507,0.5773311,0.5773311,buy,hold,93.08852139920974
207,312.22507,0.5773311,0.5773311,buy,hold,93.08852139920974
208,312.22507,0.5816176,0.5773311,buy,hold,93.77967409647083
209,312.22507,0.58590406,0.5816176,buy,hold,94.47082034415583
210,312.22937,0.58590406,0.58590406,buy,hold,94.47082034415583
211,312.22937,0.5816176,0.58590406,buy,hold,93.77967409647083
212,312.22937,0.58590406,0.5816176,buy,hold,94.47082034415583
213,312.22937,0.58590406,0.58590406,buy,hold,94.47082034415583
214,312.22937,0.58590406,0.58590406,buy,hold,94.47082034415583
215,312.23364,0.59019053,0.58590406,buy,hold,95.16196820423487
216,312.23364,0.59019053,0.59019053,buy,hold,95.16196820423487
217,312.23795,0.58590406,0.59019053,buy,hold,94.47082034415583
218,312.22937,0.58590406,0.58590406,buy,hold,94.47082034415583
219,312.23364,0.58590406,0.58590406,buy,hold,94.47082034415583
220,312.22937,0.57304466,0.58590406,buy,hold,92.39737837631277
221,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
222,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
223,312.2208,0.5773311,0.5773311,buy,hold,93.08852139920974
224,312.22507,0.5773311,0.5773311,buy,hold,93.08852139920974
225,312.22507,0.57304466,0.5773311,buy,hold,92.39737837631277
226,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
227,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
228,312.2208,0.5773311,0.57304466,buy,hold,93.08852139920974
229,312.2208,0.5687582,0.5773311,buy,hold,91.70623212862778
230,312.2165,0.5687582,0.5687582,buy,hold,91.70623212862778
231,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
232,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
233,312.21222,0.56018525,0.5687582,buy,hold,90.32393479607569
234,312.21222,0.5644717,0.56018525,buy,hold,91.01507943136669
235,312.21222,0.56018525,0.5644717,buy,hold,90.32393479607569
236,312.20795,0.5644717,0.56018525,buy,hold,91.01507943136669
237,312.21222,0.5687582,0.5644717,buy,hold,91.70623212862778
238,312.21222,0.5687582,0.5687582,buy,hold,91.70623212862778
239,312.21222,0.57304466,0.5687582,buy,hold,92.39737837631277
240,312.2165,0.57304466,0.57304466,buy,hold,92.39737837631277
241,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
242,312.2165,0.5773311,0.57304466,buy,hold,93.08852139920974
243,312.2208,0.57304466,0.5773311,buy,hold,92.39737837631277
244,312.2208,0.57304466,0.57304466,buy,hold,92.39737837631277
245,312.2165,0.57304466,0.57304466,buy,hold,92.39737837631277
246,312.2165,0.57304466,0.57304466,buy,hold,92.39737837631277
247,312.2165,0.57304466,0.57304466,buy,hold,92.39737837631277
248,312.2165,0.5644717,0.57304466,buy,hold,91.01507943136669
